msg_length,num_links,has_phone_num,money_mention,urgency_words,all_caps_ratio,exclamation_count,suspicious_keywords,sender_known,reply_requested,label
172.47559,-0.064359196,0.042650864,0.990542,1.0089443,0.34670633,2.844404,0.37756667,1.0916173,1.1568956,0.0
295.78583,1.8680396,0.2717139,1.0513364,0.7371585,0.247323,-0.015474202,0.0011548728,1.0393082,-0.3511761,0.0
320.91385,-0.06403197,0.05808689,-0.08276697,0.25945276,0.22753294,-0.06319358,-0.12405555,0.09842131,0.11643765,0.0
242.16963,-0.72074586,-0.19126661,-0.080444664,1.6203477,0.05839897,0.032702286,0.21339661,0.2572973,-0.50179565,0.0
139.62045,3.020519,0.43922114,1.1284503,3.0595977,0.088864565,1.0282121,7.2467074,0.88767254,0.9077677,0.0
172.9329,1.5970922,0.36190748,0.56838787,0.60182106,0.9310413,1.912133,2.8800015,0.075502254,0.9932301,1.0
472.22842,-0.31845894,0.04035583,-0.33893767,1.2388792,0.4359131,2.0456433,1.2363985,1.7224174,0.25899458,0.0
73.84432,-1.1020062,0.07331135,1.0501132,2.7395546,0.7565116,0.51982677,0.5866638,0.22874182,-0.15482967,1.0
284.5159,3.1313508,-0.14984757,0.04366418,4.013408,0.61724246,4.1340084,6.1352105,0.86956847,0.9006609,1.0
160.38222,2.6336973,0.38591492,1.0870494,3.0220923,0.61273295,1.1693858,4.4466414,0.35857114,0.93987083,1.0
236.21219,3.1797976,0.03191809,-0.07790645,1.6894233,1.2994617,1.1536621,3.7966168,-0.085609116,0.65340143,1.0
150.32683,0.24512672,0.42774174,1.4516257,-0.41845465,0.582262,0.94191855,1.0683271,1.2331848,1.2571892,1.0
249.15471,0.37990773,0.027220309,1.0948495,0.5148238,0.16738443,-0.3280412,1.1241171,1.2499255,1.1390102,0.0
437.26938,0.055608574,0.28374878,0.08078347,5.2902265,0.59221756,1.1470792,1.2081265,-0.04655955,0.3570783,0.0
456.55084,1.8699857,0.45587525,-0.023458384,0.88516533,0.2165219,0.6632461,1.1421676,0.7464316,0.8374515,0.0
419.0394,2.575987,0.3546118,0.2813859,-0.034037787,0.41960588,-0.014640893,2.027291,0.82854724,0.18531482,0.0
237.36636,3.670218,0.088378154,0.5828624,2.1055527,1.0183153,2.2497227,2.3696523,0.24057934,1.1426979,1.0
459.90128,1.2354993,-0.0066943564,-0.53610665,0.23379475,0.8246594,1.9372778,1.0765622,-0.31571627,-0.30321428,0.0
353.84097,0.5396037,-0.062309057,-0.588535,-0.22220467,0.52045655,0.28500998,-0.19902813,1.4586562,0.59366447,0.0
277.98935,2.240016,0.39713416,-0.105657496,0.7320137,0.13993756,-0.28381258,-0.038268927,-0.13527322,-0.2745475,0.0
387.8464,0.4069105,0.4062926,0.13117304,0.03822483,0.07779075,0.6131476,0.6454425,0.97192603,-0.06941085,0.0
185.46101,3.3952177,0.046210814,1.2618462,2.144647,0.8016413,3.34515,3.050925,0.26746532,1.154283,1.0
265.79037,4.383825,0.414656,1.0308125,4.6061106,1.2981946,1.2951125,1.086413,0.14798304,1.482267,1.0
166.95377,3.9200475,0.11317501,0.12673336,0.19654551,-0.055181272,-0.18737414,0.3684311,0.20268105,0.36355272,0.0
335.69382,3.159747,0.04971004,0.99508214,1.2087203,1.0268644,1.3452783,6.9542623,1.3669639,0.43020248,1.0
326.12766,1.8960797,-0.18469577,-0.14463916,1.9973522,0.00654886,-0.4656458,-0.20552523,1.0539515,1.1536843,0.0
